Both sexes,An intellectual disability,Leinster,30273,,Region,Total persons(Both Sexes),Blindness or a serious vision impairment(Both Sexes),Deafness or a serious hearing impairment(Both Sexes),A condition that substantially limits one or more basic physical activities(Both Sexes)
Male,Difficulty in going outside home alone,Munster,19185,,,,,,
Male,Difficulty in going outside home alone,Clare,1613,,,,,,
Male,Difficulty in going outside home alone,Cork,7785,,,,,,
Male,Difficulty in going outside home alone,Cork City,2371,,,,,,
Male,Difficulty in going outside home alone,Cork County,5414,,,,,,
Male,Difficulty in going outside home alone,Kerry,2361,,,,,,
Male,Difficulty in going outside home alone,Limerick,3152,,,,,,
Male,Difficulty in going outside home alone,Limerick City,1083,,,,,,
Male,Difficulty in going outside home alone,Limerick County,2069,,,,,,
Male,Difficulty in going outside home alone,Tipperary,2632,,,,,,
Male,Difficulty in going outside home alone,Waterford,1642,,,,,,
Male,Difficulty in going outside home alone,Waterford City,799,,,,,,
Male,Difficulty in going outside home alone,Waterford County,843,,,,,,
Male,Difficulty in going outside home alone,Connacht,8834,,,,,,
Male,Difficulty in going outside home alone,Galway,3737,,,,,,
Male,Difficulty in going outside home alone,Galway City,931,,,,,,
Male,Difficulty in going outside home alone,Galway County,2806,,,,,,
Male,Difficulty in going outside home alone,Leitrim,535,,,,,,
Male,Difficulty in going outside home alone,Mayo,2305,,,,,,
Male,Difficulty in going outside home alone,Roscommon,1078,,,,,,
Male,Difficulty in going outside home alone,Sligo,1179,,,,,,
Male,Difficulty in going outside home alone,Ulster (part of),4640,,,,,,
Male,Difficulty in going outside home alone,Cavan,1087,,,,,,
Male,Difficulty in going outside home alone,Donegal,2702,,,,,,
Male,Difficulty in going outside home alone,Monaghan,851,,,,,,
Male,Difficulty in going outside home alone,State,65627,,,,,,
Male,Difficulty in working or attending school/college,Leinster,47592,,,,,,
Male,Difficulty in working or attending school/college,Carlow,1309,,,,,,
Male,Difficulty in working or attending school/college,Dublin,22626,,,,,,
Male,Difficulty in working or attending school/college,Dublin City,10927,,,,,,
Male,Difficulty in working or attending school/college,Dun Laoghaire-Rathdown,2993,,,,,,
Male,Difficulty in working or attending school/college,Fingal,3863,,,,,,
Male,Difficulty in working or attending school/college,South Dublin,4843,,,,,,
Male,Difficulty in working or attending school/college,Kildare,3722,,,,,,
Male,Difficulty in working or attending school/college,Kilkenny,1989,,,,,,
Male,Difficulty in working or attending school/college,Laois,1727,,,,,,
Male,Difficulty in working or attending school/college,Longford,938,,,,,,
Male,Difficulty in working or attending school/college,Louth,2688,,,,,,
Male,Difficulty in working or attending school/college,Meath,3046,,,,,,
Male,Difficulty in working or attending school/college,Offaly,1678,,,,,,
Male,Difficulty in working or attending school/college,Westmeath,1847,,,,,,
Male,Difficulty in working or attending school/college,Wexford,3366,,,,,,
Male,Difficulty in working or attending school/college,Wicklow,2656,,,,,,
Male,Difficulty in working or attending school/college,Munster,27873,,,,,,
Male,Difficulty in working or attending school/college,Clare,2291,,,,,,
Male,Difficulty in working or attending school/college,Cork,11165,,,,,,
Male,Difficulty in working or attending school/college,Cork City,3297,,,,,,
Male,Difficulty in working or attending school/college,Cork County,7868,,,,,,
Male,Difficulty in working or attending school/college,Kerry,3335,,,,,,
Male,Difficulty in working or attending school/college,Limerick,4688,,,,,,
Male,Difficulty in working or attending school/college,Limerick City,1634,,,,,,
Male,Difficulty in working or attending school/college,Limerick County,3054,,,,,,
Male,Difficulty in working or attending school/college,Tipperary,3971,,,,,,
Male,Difficulty in working or attending school/college,Waterford,2423,,,,,,
Male,Difficulty in working or attending school/college,Waterford City,1115,,,,,,
Male,Difficulty in working or attending school/college,Waterford County,1308,,,,,,
Male,Difficulty in working or attending school/college,Connacht,12075,,,,,,
Male,Difficulty in working or attending school/college,Galway,5131,,,,,,
Male,Difficulty in working or attending school/college,Galway City,1351,,,,,,
Male,Difficulty in working or attending school/college,Galway County,3780,,,,,,
Male,Difficulty in working or attending school/college,Leitrim,818,,,,,,
Male,Difficulty in working or attending school/college,Mayo,3090,,,,,,
Male,Difficulty in working or attending school/college,Roscommon,1476,,,,,,
Male,Difficulty in working or attending school/college,Sligo,1560,,,,,,
Male,Difficulty in working or attending school/college,Ulster (part of),6720,,,,,,
Male,Difficulty in working or attending school/college,Cavan,1541,,,,,,
Male,Difficulty in working or attending school/college,Donegal,3853,,,,,,
Male,Difficulty in working or attending school/college,Monaghan,1326,,,,,,
Male,Difficulty in working or attending school/college,State,94260,,,,,,
Male,Difficulty in participating in other activities,Leinster,46528,,,,,,
Male,Difficulty in participating in other activities,Carlow,1149,,,,,,
Male,Difficulty in participating in other activities,Dublin,22730,,,,,,
Male,Difficulty in participating in other activities,Dublin City,10907,,,,,,
Male,Difficulty in participating in other activities,Dun Laoghaire-Rathdown,3256,,,,,,
Male,Difficulty in participating in other activities,Fingal,3815,,,,,,
Male,Difficulty in participating in other activities,South Dublin,4752,,,,,,
Male,Difficulty in participating in other activities,Kildare,3590,,,,,,
Male,Difficulty in participating in other activities,Kilkenny,1910,,,,,,
Male,Difficulty in participating in other activities,Laois,1561,,,,,,
Male,Difficulty in participating in other activities,Longford,867,,,,,,
Male,Difficulty in participating in other activities,Louth,2680,,,,,,
Male,Difficulty in participating in other activities,Meath,2965,,,,,,
Male,Difficulty in participating in other activities,Offaly,1569,,,,,,
Male,Difficulty in participating in other activities,Westmeath,1826,,,,,,
Male,Difficulty in participating in other activities,Wexford,3112,,,,,,
Male,Difficulty in participating in other activities,Wicklow,2569,,,,,,
Male,Difficulty in participating in other activities,Munster,26574,,,,,,
Male,Difficulty in participating in other activities,Clare,2325,,,,,,
Male,Difficulty in participating in other activities,Cork,10760,,,,,,
Male,Difficulty in participating in other activities,Cork City,3250,,,,,,
Male,Difficulty in participating in other activities,Cork County,7510,,,,,,
Male,Difficulty in participating in other activities,Kerry,3106,,,,,,
Male,Difficulty in participating in other activities,Limerick,4348,,,,,,
Male,Difficulty in participating in other activities,Limerick City,1511,,,,,,
Male,Difficulty in participating in other activities,Limerick County,2837,,,,,,
Male,Difficulty in participating in other activities,Tipperary,3720,,,,,,
Male,Difficulty in participating in other activities,Waterford,2315,,,,,,
Male,Difficulty in participating in other activities,Waterford City,1056,,,,,,
Male,Difficulty in participating in other activities,Waterford County,1259,,,,,,
Male,Difficulty in participating in other activities,Connacht,11748,,,,,,
Male,Difficulty in participating in other activities,Galway,4958,,,,,,
Male,Difficulty in participating in other activities,Galway City,1307,,,,,,
Male,Difficulty in participating in other activities,Galway County,3651,,,,,,
Male,Difficulty in participating in other activities,Leitrim,741,,,,,,
Male,Difficulty in participating in other activities,Mayo,3081,,,,,,
Male,Difficulty in participating in other activities,Roscommon,1437,,,,,,
Male,Difficulty in participating in other activities,Sligo,1531,,,,,,
Male,Difficulty in participating in other activities,Ulster (part of),6467,,,,,,
Male,Difficulty in participating in other activities,Cavan,1495,,,,,,
Male,Difficulty in participating in other activities,Donegal,3773,,,,,,
Male,Difficulty in participating in other activities,Monaghan,1199,,,,,,
Male,Difficulty in participating in other activities,State,91317,,,,,,
Male,Total disabilities,Leinster,393318,,,,,,
Male,Total disabilities,Carlow,9838,,,,,,
Male,Total disabilities,Dublin,193278,,,,,,
Male,Total disabilities,Dublin City,94165,,,,,,
Male,Total disabilities,Dun Laoghaire-Rathdown,27242,,,,,,
Male,Total disabilities,Fingal,32294,,,,,,
Male,Total disabilities,South Dublin,39577,,,,,,
Male,Total disabilities,Kildare,30744,,,,,,
Male,Total disabilities,Kilkenny,16034,,,,,,
Male,Total disabilities,Laois,13418,,,,,,
Male,Total disabilities,Longford,7168,,,,,,
Male,Total disabilities,Louth,21752,,,,,,
Male,Total disabilities,Meath,24621,,,,,,
Male,Total disabilities,Offaly,13250,,,,,,
Male,Total disabilities,Westmeath,15161,,,,,,
Male,Total disabilities,Wexford,26281,,,,,,
Male,Total disabilities,Wicklow,21773,,,,,,
Male,Total disabilities,Munster,219446,,,,,,
Male,Total disabilities,Clare,18955,,,,,,
Male,Total disabilities,Cork,88651,,,,,,
Male,Total disabilities,Cork City,27308,,,,,,
Male,Total disabilities,Cork County,61343,,,,,,
Male,Total disabilities,Kerry,25470,,,,,,
Male,Total disabilities,Limerick,36218,,,,,,
Male,Total disabilities,Limerick City,13281,,,,,,
Male,Total disabilities,Limerick County,22937,,,,,,
Male,Total disabilities,Tipperary,30765,,,,,,
Male,Total disabilities,Waterford,19387,,,,,,
Male,Total disabilities,Waterford City,8870,,,,,,
Male,Total disabilities,Waterford County,10517,,,,,,
Male,Total disabilities,Connacht,95225,,,,,,
Male,Total disabilities,Galway,40412,,,,,,
Male,Total disabilities,Galway City,10982,,,,,,
Male,Total disabilities,Galway County,29430,,,,,,
Male,Total disabilities,Leitrim,5951,,,,,,
Male,Total disabilities,Mayo,24526,,,,,,
Male,Total disabilities,Roscommon,11935,,,,,,
Male,Total disabilities,Sligo,12401,,,,,,
Male,Total disabilities,Ulster (part of),52184,,,,,,
Male,Total disabilities,Cavan,11997,,,,,,
Male,Total disabilities,Donegal,30549,,,,,,
Male,Total disabilities,Monaghan,9638,,,,,,
Male,Total disabilities,State,760173,,,,,,
Female,Total persons,Leinster,1271462,,,,,,
Female,Total persons,Carlow,27181,,,,,,
Female,Total persons,Dublin,653167,,,,,,
Female,Total persons,Dublin City,270309,,,,,,
Female,Total persons,Dun Laoghaire-Rathdown,107694,,,,,,
Female,Total persons,Fingal,139503,,,,,,
Female,Total persons,South Dublin,135661,,,,,,
Female,Total persons,Kildare,105654,,,,,,
Female,Total persons,Kilkenny,47631,,,,,,
Female,Total persons,Laois,39972,,,,,,
Female,Total persons,Longford,19351,,,,,,
Female,Total persons,Louth,62134,,,,,,
Female,Total persons,Meath,92225,,,,,,
Female,Total persons,Offaly,38257,,,,,,
Female,Total persons,Westmeath,43381,,,,,,
Female,Total persons,Wexford,73411,,,,,,
Female,Total persons,Wicklow,69098,,,,,,
Female,Total persons,Munster,625828,,,,,,
Female,Total persons,Clare,58898,,,,,,
Female,Total persons,Cork,261562,,,,,,
Female,Total persons,Cork City,60418,,,,,,
Female,Total persons,Cork County,201144,,,,,,
Female,Total persons,Kerry,72873,,,,,,
Female,Total persons,Limerick,95994,,,,,,
Female,Total persons,Limerick City,29159,,,,,,
Female,Total persons,Limerick County,66835,,,,,,
Female,Total persons,Tipperary,34982,,,,,,
Female,Total persons,South Tipperary,44188,,,,,,
Female,Total persons,Waterford,57331,,,,,,
Female,Total persons,Waterford City,23811,,,,,,
Female,Total persons,Waterford County,33520,,,,,,
Female,Total persons,Connacht,271437,,,,,,
Female,Total persons,Galway,125895,,,,,,
Female,Total persons,Galway City,39015,,,,,,
Female,Total persons,Galway County,86880,,,,,,
Female,Total persons,Leitrim,15654,,,,,,
Female,Total persons,Mayo,65218,,,,,,
Female,Total persons,Roscommon,31712,,,,,,
Female,Total persons,Sligo,32958,,,,,,
Female,Total persons,Ulster (part of),146826,,,,,,
Female,Total persons,Cavan,36170,,,,,,
Female,Total persons,Donegal,80614,,,,,,
Female,Total persons,Monaghan,30042,,,,,,
Female,Total persons,State,2315553,,,,,,
Female,Total persons with a disability,Leinster,165354,,,,,,
Female,Total persons with a disability,Carlow,3652,,,,,,
Female,Total persons with a disability,Dublin,87651,,,,,,
Female,Total persons with a disability,Dublin City,41959,,,,,,
Female,Total persons with a disability,Dun Laoghaire-Rathdown,13814,,,,,,
Female,Total persons with a disability,Fingal,14746,,,,,,
Female,Total persons with a disability,South Dublin,17132,,,,,,
Female,Total persons with a disability,Kildare,12263,,,,,,
Female,Total persons with a disability,Kilkenny,5965,,,,,,
Female,Total persons with a disability,Laois,5065,,,,,,
Female,Total persons with a disability,Longford,2788,,,,,,
Female,Total persons with a disability,Louth,8103,,,,,,
Female,Total persons with a disability,Meath,9890,,,,,,
Female,Total persons with a disability,Offaly,5220,,,,,,
Female,Total persons with a disability,Westmeath,5744,,,,,,
Female,Total persons with a disability,Wexford,10038,,,,,,
Female,Total persons with a disability,Wicklow,8975,,,,,,
Female,Total persons with a disability,Munster,85503,,,,,,
Female,Total persons with a disability,Clare,7511,,,,,,
Female,Total persons with a disability,Cork,34979,,,,,,
Female,Total persons with a disability,Cork City,10956,,,,,,
Female,Total persons with a disability,Cork County,24023,,,,,,
Female,Total persons with a disability,Kerry,9758,,,,,,
Female,Total persons with a disability,Limerick,13892,,,,,,
Female,Total persons with a disability,Limerick City,5391,,,,,,
Female,Total persons with a disability,Limerick County,8501,,,,,,
Female,Total persons with a disability,Tipperary,4901,,,,,,
Female,Total persons with a disability,South Tipperary,6440,,,,,,
Female,Total persons with a disability,Waterford,8022,,,,,,
Female,Total persons with a disability,Waterford City,3763,,,,,,
Female,Total persons with a disability,Waterford County,4259,,,,,,
Female,Total persons with a disability,Connacht,35513,,,,,,
Female,Total persons with a disability,Galway,15232,,,,,,
Female,Total persons with a disability,Galway City,4653,,,,,,
Female,Total persons with a disability,Galway County,10579,,,,,,
Female,Total persons with a disability,Leitrim,2056,,,,,,
Female,Total persons with a disability,Mayo,9022,,,,,,
Female,Total persons with a disability,Roscommon,4397,,,,,,
Female,Total persons with a disability,Sligo,4806,,,,,,
Female,Total persons with a disability,Ulster (part of),19237,,,,,,
Female,Total persons with a disability,Cavan,4234,,,,,,
Female,Total persons with a disability,Donegal,11299,,,,,,
Female,Total persons with a disability,Monaghan,3704,,,,,,
Female,Total persons with a disability,State,305607,,,,,,
Female,Blindness or a serious vision impairment,Leinster,14330,,,,,,
Female,Blindness or a serious vision impairment,Carlow,265,,,,,,
Female,Blindness or a serious vision impairment,Dublin,7628,,,,,,
Female,Blindness or a serious vision impairment,Dublin City,3988,,,,,,
Female,Blindness or a serious vision impairment,Dun Laoghaire-Rathdown,1158,,,,,,
Female,Blindness or a serious vision impairment,Fingal,1117,,,,,,
Female,Blindness or a serious vision impairment,South Dublin,1365,,,,,,
Female,Blindness or a serious vision impairment,Kildare,971,,,,,,
Female,Blindness or a serious vision impairment,Kilkenny,531,,,,,,
Female,Blindness or a serious vision impairment,Laois,472,,,,,,
Female,Blindness or a serious vision impairment,Longford,266,,,,,,
Female,Blindness or a serious vision impairment,Louth,750,,,,,,
Female,Blindness or a serious vision impairment,Meath,860,,,,,,
Female,Blindness or a serious vision impairment,Offaly,488,,,,,,
Female,Blindness or a serious vision impairment,Westmeath,548,,,,,,
Female,Blindness or a serious vision impairment,Wexford,856,,,,,,
Female,Blindness or a serious vision impairment,Wicklow,695,,,,,,
Female,Blindness or a serious vision impairment,Munster,7455,,,,,,
Female,Blindness or a serious vision impairment,Clare,618,,,,,,
Female,Blindness or a serious vision impairment,Cork,2996,,,,,,
Female,Blindness or a serious vision impairment,Cork City,1037,,,,,,
Female,Blindness or a serious vision impairment,Cork County,1959,,,,,,
Female,Blindness or a serious vision impairment,Kerry,889,,,,,,
Female,Blindness or a serious vision impairment,Limerick,1193,,,,,,
Female,Blindness or a serious vision impairment,Limerick City,442,,,,,,
Female,Blindness or a serious vision impairment,Limerick County,751,,,,,,
Female,Blindness or a serious vision impairment,Tipperary,447,,,,,,
Female,Blindness or a serious vision impairment,South Tipperary,574,,,,,,
Female,Blindness or a serious vision impairment,Waterford,738,,,,,,
Female,Blindness or a serious vision impairment,Waterford City,332,,,,,,
Female,Blindness or a serious vision impairment,Waterford County,406,,,,,,
Female,Blindness or a serious vision impairment,Connacht,3367,,,,,,
Female,Blindness or a serious vision impairment,Galway,1377,,,,,,
Female,Blindness or a serious vision impairment,Galway City,397,,,,,,
Female,Blindness or a serious vision impairment,Galway County,980,,,,,,
Female,Blindness or a serious vision impairment,Leitrim,192,,,,,,
Female,Blindness or a serious vision impairment,Mayo,899,,,,,,
Female,Blindness or a serious vision impairment,Roscommon,421,,,,,,
Female,Blindness or a serious vision impairment,Sligo,478,,,,,,
Female,Blindness or a serious vision impairment,Ulster (part of),1781,,,,,,
Female,Blindness or a serious vision impairment,Cavan,359,,,,,,
Female,Blindness or a serious vision impairment,Donegal,1074,,,,,,
Female,Blindness or a serious vision impairment,Monaghan,348,,,,,,
Female,Blindness or a serious vision impairment,State,26933,,,,,,
Female,Deafness or a serious hearing impairment,Leinster,23425,,,,,,
Female,Deafness or a serious hearing impairment,Carlow,484,,,,,,
Female,Deafness or a serious hearing impairment,Dublin,12776,,,,,,
Female,Deafness or a serious hearing impairment,Dublin City,6539,,,,,,
Female,Deafness or a serious hearing impairment,Dun Laoghaire-Rathdown,2301,,,,,,
Female,Deafness or a serious hearing impairment,Fingal,1830,,,,,,
Female,Deafness or a serious hearing impairment,South Dublin,2106,,,,,,
Female,Deafness or a serious hearing impairment,Kildare,1516,,,,,,
Female,Deafness or a serious hearing impairment,Kilkenny,840,,,,,,
Female,Deafness or a serious hearing impairment,Laois,683,,,,,,
Female,Deafness or a serious hearing impairment,Longford,410,,,,,,
Female,Deafness or a serious hearing impairment,Louth,1185,,,,,,
Female,Deafness or a serious hearing impairment,Meath,1331,,,,,,
Female,Deafness or a serious hearing impairment,Offaly,711,,,,,,
Female,Deafness or a serious hearing impairment,Westmeath,807,,,,,,
Female,Deafness or a serious hearing impairment,Wexford,1447,,,,,,
Female,Deafness or a serious hearing impairment,Wicklow,1235,,,,,,
Female,Deafness or a serious hearing impairment,Munster,12375,,,,,,
Female,Deafness or a serious hearing impairment,Clare,1025,,,,,,
Female,Deafness or a serious hearing impairment,Cork,5118,,,,,,
Female,Deafness or a serious hearing impairment,Cork City,1686,,,,,,
Female,Deafness or a serious hearing impairment,Cork County,3432,,,,,,
Female,Deafness or a serious hearing impairment,Kerry,1442,,,,,,
Female,Deafness or a serious hearing impairment,Limerick,1937,,,,,,
Female,Deafness or a serious hearing impairment,Limerick City,708,,,,,,
Female,Deafness or a serious hearing impairment,Limerick County,1229,,,,,,
Female,Deafness or a serious hearing impairment,Tipperary,686,,,,,,
Female,Deafness or a serious hearing impairment,South Tipperary,938,,,,,,
Female,Deafness or a serious hearing impairment,Waterford,1229,,,,,,
Female,Deafness or a serious hearing impairment,Waterford City,608,,,,,,
Female,Deafness or a serious hearing impairment,Waterford County,621,,,,,,
Female,Deafness or a serious hearing impairment,Connacht,5241,,,,,,
Female,Deafness or a serious hearing impairment,Galway,2111,,,,,,
Female,Deafness or a serious hearing impairment,Galway City,587,,,,,,
Female,Deafness or a serious hearing impairment,Galway County,1524,,,,,,
Female,Deafness or a serious hearing impairment,Leitrim,302,,,,,,
Female,Deafness or a serious hearing impairment,Mayo,1397,,,,,,
Female,Deafness or a serious hearing impairment,Roscommon,694,,,,,,
Female,Deafness or a serious hearing impairment,Sligo,737,,,,,,
Female,Deafness or a serious hearing impairment,Ulster (part of),3000,,,,,,
Female,Deafness or a serious hearing impairment,Cavan,655,,,,,,
Female,Deafness or a serious hearing impairment,Donegal,1835,,,,,,
Female,Deafness or a serious hearing impairment,Monaghan,510,,,,,,
Female,Deafness or a serious hearing impairment,State,44041,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Leinster,72654,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Carlow,1698,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Dublin,37998,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Dublin City,19317,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Dun Laoghaire-Rathdown,5970,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Fingal,5737,,,,,,
Female,A condition that substantially limits one or more basic physical activities,South Dublin,6974,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Kildare,5106,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Kilkenny,2855,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Laois,2199,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Longford,1302,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Louth,3873,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Meath,4151,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Offaly,2484,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Westmeath,2666,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Wexford,4498,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Wicklow,3824,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Munster,40704,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Clare,3545,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Cork,16317,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Cork City,5267,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Cork County,11050,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Kerry,4828,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Limerick,6677,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Limerick City,2618,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Limerick County,4059,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Tipperary,2411,,,,,,
Female,A condition that substantially limits one or more basic physical activities,South Tipperary,3167,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Waterford,3759,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Waterford City,1735,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Waterford County,2024,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Connacht,17671,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Galway,7074,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Galway City,1836,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Galway County,5238,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Leitrim,1047,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Mayo,4850,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Roscommon,2296,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Sligo,2404,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Ulster (part of),9633,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Cavan,2111,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Donegal,5576,,,,,,
Female,A condition that substantially limits one or more basic physical activities,Monaghan,1946,,,,,,
Female,A condition that substantially limits one or more basic physical activities,State,140662,,,,,,
Female,An intellectual disability,Leinster,12389,,,,,,
Female,An intellectual disability,Carlow,286,,,,,,
Female,An intellectual disability,Dublin,6289,,,,,,
Female,An intellectual disability,Dublin City,2718,,,,,,
Female,An intellectual disability,Dun Laoghaire-Rathdown,898,,,,,,
Female,An intellectual disability,Fingal,1324,,,,,,
Female,An intellectual disability,South Dublin,1349,,,,,,
Female,An intellectual disability,Kildare,1063,,,,,,
Female,An intellectual disability,Kilkenny,519,,,,,,
Female,An intellectual disability,Laois,428,,,,,,
Female,An intellectual disability,Longford,208,,,,,,
Female,An intellectual disability,Louth,549,,,,,,
Female,An intellectual disability,Meath,741,,,,,,
Female,An intellectual disability,Offaly,370,,,,,,
Female,An intellectual disability,Westmeath,530,,,,,,
Female,An intellectual disability,Wexford,738,,,,,,
Female,An intellectual disability,Wicklow,668,,,,,,
Female,An intellectual disability,Munster,6733,,,,,,
Female,An intellectual disability,Clare,558,,,,,,
Female,An intellectual disability,Cork,2778,,,,,,
Female,An intellectual disability,Cork City,906,,,,,,
Female,An intellectual disability,Cork County,1872,,,,,,
Female,An intellectual disability,Kerry,748,,,,,,
Female,An intellectual disability,Limerick,1169,,,,,,
Female,An intellectual disability,Limerick City,384,,,,,,
Female,An intellectual disability,Limerick County,785,,,,,,
Female,An intellectual disability,Tipperary,372,,,,,,
Female,An intellectual disability,South Tipperary,470,,,,,,
Female,An intellectual disability,Waterford,638,,,,,,
Female,An intellectual disability,Waterford City,269,,,,,,
Female,An intellectual disability,Waterford County,369,,,,,,
Female,An intellectual disability,Connacht,2944,,,,,,
Female,An intellectual disability,Galway,1255,,,,,,
Female,An intellectual disability,Galway City,355,,,,,,
Female,An intellectual disability,Galway County,900,,,,,,
Female,An intellectual disability,Leitrim,123,,,,,,
Female,An intellectual disability,Mayo,717,,,,,,
Female,An intellectual disability,Roscommon,351,,,,,,
Female,An intellectual disability,Sligo,498,,,,,,
Female,An intellectual disability,Ulster (part of),1430,,,,,,
Female,An intellectual disability,Cavan,338,,,,,,
Female,An intellectual disability,Donegal,819,,,,,,
Female,An intellectual disability,Monaghan,273,,,,,,
Female,An intellectual disability,State,23496,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Leinster,33795,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Carlow,705,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Dublin,17815,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Dublin City,8225,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Dun Laoghaire-Rathdown,2925,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Fingal,3260,,,,,,
Female,"Difficulty in learning, remembering or concentrating",South Dublin,3405,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Kildare,2647,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Kilkenny,1256,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Laois,1046,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Longford,553,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Louth,1571,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Meath,1968,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Offaly,1004,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Westmeath,1220,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Wexford,2062,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Wicklow,1948,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Munster,17290,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Clare,1512,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Cork,7136,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Cork City,2228,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Cork County,4908,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Kerry,1997,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Limerick,2720,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Limerick City,983,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Limerick County,1737,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Tipperary,1035,,,,,,
Female,"Difficulty in learning, remembering or concentrating",South Tipperary,1275,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Waterford,1615,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Waterford City,737,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Waterford County,878,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Connacht,7661,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Galway,3191,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Galway City,932,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Galway County,2259,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Leitrim,418,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Mayo,2005,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Roscommon,922,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Sligo,1125,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Ulster (part of),4005,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Cavan,899,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Donegal,2304,,,,,,
Female,"Difficulty in learning, remembering or concentrating",Monaghan,802,,,,,,
Female,"Difficulty in learning, remembering or concentrating",State,62751,,,,,,
Female,Psychological or emotional condition,Leinster,28654,,,,,,
Female,Psychological or emotional condition,Carlow,544,,,,,,
Female,Psychological or emotional condition,Dublin,15869,,,,,,
Female,Psychological or emotional condition,Dublin City,7525,,,,,,
Female,Psychological or emotional condition,Dun Laoghaire-Rathdown,2147,,,,,,
Female,Psychological or emotional condition,Fingal,2995,,,,,,
Female,Psychological or emotional condition,South Dublin,3202,,,,,,
